n,środek,  prawo,  losowo
 1, 0.00369, 0.00314, 0.00246
 2, 0.01093, 0.00515, 0.00439
 3, 0.01299, 0.00827, 0.00735
 4, 0.03858, 0.01185, 0.00961
 5, 0.09485, 0.01397, 0.01207
 6, 0.12689, 0.01585, 0.01365
 7, 0.16662, 0.01895, 0.01656
 8, 0.20739, 0.02165, 0.01942
 9, 0.27257, 0.02536,  0.0227
10, 0.33214, 0.02792, 0.02457
11,  0.3607, 0.03148, 0.02872
12, 0.50495, 0.03578, 0.03479
13, 0.56488, 0.03872, 0.03846
14, 0.57892, 0.04133, 0.04125
15, 0.69394, 0.04996, 0.05118
