l.elem	macierz	lista
200	0.0004	0.0002
400	0.0013	0.0007
600	0.0022	0.001
800	0.0038	0.0012
1000	0.0058	0.0023
1200	0.0082	0.0033
1400	0.0114	0.0043
1600	0.0147	0.0056
1800	0.0186	0.0068
2000	0.0225	0.0086
2200	0.028	0.0104
2400	0.0335	0.0118
2600	0.0385	0.0146
2800	0.0443	0.0164
3000	0.0511	0.0188
