 n,  t_rec,  t_iter
 1, 0.00334, 0.00347
 2,  0.0062,  0.0048
 3, 0.00648, 0.00632
 4, 0.00776, 0.00781
 5, 0.01098, 0.01071
 6, 0.01274, 0.01284
 7, 0.01454, 0.01463
 8, 0.01791, 0.01812
 9, 0.01997, 0.01992
10, 0.02623, 0.02356
11, 0.02682, 0.02689
12, 0.02858, 0.02835
13,  0.0306, 0.03063
14, 0.03242, 0.03265
15, 0.03335, 0.03352
